 ****************** Start WS v. 1.5 at 24-Sep-12 18:16:16 ******************
 
 multi none revert,0,0,0,0,0,0
 energy   5.300 GeV   current 250.0 mA
 period  12.000  cm   N        49.0      Kx      0.000      Ky      9.000
 emin     500.0  eV   emax 100000.0 eV   ne       5000
 d       20.000   m   xpc     1.000 mm   ypc     0.500 mm
 xps      0.500  mm   yps     0.250 mm   nxp        10      nyp        10
 
 b0       0.803   T   ec0    15.005  keV
 e1        53.6  eV   l1    231.466  A
 ptot   16855.5   W   pd      210.2  W/mm^2
 
 Flux through   0.500 mm x  0.250 mm pinhole at  1.000 mm,  0.500 mm @ 20.000 m:
 Integrated flux   1.202E+16 ph/s
 Integrated power       23.1 W
 
 Energy(eV)   Flux(ph/s/0.1%bw)   p1      p2      p3      p4
   5296.859   3.424720E+12     0.939   0.000   0.000   0.061
   5316.763   3.429902E+12     0.939   0.000   0.000   0.061
   5336.667   3.435056E+12     0.938   0.000   0.000   0.062
   5356.571   3.440182E+12     0.938   0.000   0.000   0.062
   5376.475   3.445282E+12     0.938   0.000   0.000   0.062
   5396.379   3.450354E+12     0.938   0.000   0.000   0.062
   5416.283   3.455400E+12     0.938   0.000   0.000   0.062
   5436.187   3.460419E+12     0.938   0.000   0.000   0.062
   5456.091   3.465411E+12     0.938   0.000   0.000   0.062
   5475.995   3.470376E+12     0.938   0.000   0.000   0.062
   5495.899   3.475315E+12     0.938   0.000   0.000   0.062
   5515.803   3.480228E+12     0.938   0.000   0.000   0.062
   5535.707   3.485114E+12     0.938   0.000   0.000   0.062
   5555.611   3.489974E+12     0.938   0.000   0.000   0.062
   5575.515   3.494808E+12     0.937   0.000   0.000   0.063
   5595.419   3.499616E+12     0.937   0.000   0.000   0.063
   5615.323   3.504398E+12     0.937   0.000   0.000   0.063
   5635.227   3.509154E+12     0.937   0.000   0.000   0.063
   5655.131   3.513884E+12     0.937   0.000   0.000   0.063
   5675.035   3.518589E+12     0.937   0.000   0.000   0.063
   5694.939   3.523269E+12     0.937   0.000   0.000   0.063
   5714.843   3.527922E+12     0.937   0.000   0.000   0.063
   5734.747   3.532551E+12     0.937   0.000   0.000   0.063
   5754.651   3.537154E+12     0.937   0.000   0.000   0.063
   5774.555   3.541732E+12     0.937   0.000   0.000   0.063
   5794.459   3.546285E+12     0.937   0.000   0.000   0.063
   5814.363   3.550814E+12     0.937   0.000   0.000   0.063
   5834.267   3.555317E+12     0.936   0.000   0.000   0.064
   5854.171   3.559795E+12     0.936   0.000   0.000   0.064
   5874.075   3.564249E+12     0.936   0.000   0.000   0.064
   5893.979   3.568678E+12     0.936   0.000   0.000   0.064
   5913.883   3.573083E+12     0.936   0.000   0.000   0.064
   5933.787   3.577463E+12     0.936   0.000   0.000   0.064
   5953.691   3.581819E+12     0.936   0.000   0.000   0.064
   5973.595   3.586151E+12     0.936   0.000   0.000   0.064
