 ****************** Start US v. 1.9 at 07-Dec-12 12:15:18 ******************
 
 output,0,0,0,0,0,0
 energy   5.300 GeV   current 250.0 mA
 sigx     1.070  mm   sigy    0.081 mm   sigx1  0.1433 mr   sigy1  0.0135 mr
 period   2.440  cm   N          40      Kx      0.000      Ky      2.350
 emin     500.0  eV   emax 100000.0 eV   ne       4999
 d       20.000   m   xpc     0.000 mm   ypc     0.000 mm
 xps      0.000  mm   yps     0.000 mm   nxp        10      nyp        10
 mode         4       method      4      iharm       0   
 nphi        20       nalpha     15      calpha2   2.0
 nomega      64       comega    8.0      nsigma      3
 
 e1      2906.6  eV   l1      4.266  A
 ptot    4613.7   W   pd      217.5  W/mm^2
 
 
 Flux through   0.000 mm x  0.000 mm pinhole at  0.000 mm,  0.000 mm @ 20.000 m:
 Integrated flux   5.542E+04 ph/s
 Integrated power        0.0 W
 Contributing harmonics    1 to   55
 
 Energy(eV)   Flux(ph/s/0.1%bw)   p1      p2      p3      p4
   6053.211   6.061680E+00     0.964   0.000   0.000   0.036
   6073.115   6.203014E+00     0.965   0.000   0.000   0.035
   6093.019   6.357076E+00     0.966   0.000   0.000   0.034
   6112.923   6.513792E+00     0.967   0.000   0.000   0.033
   6132.827   6.673170E+00     0.968   0.000   0.000   0.032
   6152.731   6.841418E+00     0.969   0.000   0.000   0.031
   6172.635   7.016974E+00     0.970   0.000   0.000   0.030
   6192.539   7.199158E+00     0.971   0.000   0.000   0.029
   6212.442   7.394468E+00     0.972   0.000   0.000   0.028
   6232.346   7.599960E+00     0.972   0.000   0.000   0.028
   6252.250   7.807289E+00     0.973   0.000   0.000   0.027
   6272.154   8.009477E+00     0.974   0.000   0.000   0.026
   6292.058   8.212599E+00     0.975   0.000   0.000   0.025
   6311.962   8.421150E+00     0.976   0.000   0.000   0.024
   6331.866   8.633966E+00     0.976   0.000   0.000   0.024
   6351.770   8.849245E+00     0.977   0.000   0.000   0.023
   6371.674   9.069678E+00     0.978   0.000   0.000   0.022
   6391.578   9.295947E+00     0.978   0.000   0.000   0.022
   6411.482   9.525693E+00     0.979   0.000   0.000   0.021
   6431.386   9.756118E+00     0.980   0.000   0.000   0.020
   6451.290   9.990431E+00     0.980   0.000   0.000   0.020
   6471.194   1.022753E+01     0.981   0.000   0.000   0.019
   6491.098   1.046729E+01     0.981   0.000   0.000   0.019
   6511.002   1.070935E+01     0.982   0.000   0.000   0.018
   6530.906   1.095374E+01     0.982   0.000   0.000   0.018
   6550.810   1.120059E+01     0.983   0.000   0.000   0.017
   6570.714   1.144961E+01     0.983   0.000   0.000   0.017
   6590.618   1.170046E+01     0.984   0.000   0.000   0.016
   6610.522   1.195329E+01     0.984   0.000   0.000   0.016
   6630.426   1.220812E+01     0.985   0.000   0.000   0.015
   6650.330   1.246160E+01     0.985   0.000   0.000   0.015
   6670.234   1.271812E+01     0.986   0.000   0.000   0.014
   6690.138   1.297628E+01     0.986   0.000   0.000   0.014
   6710.042   1.323601E+01     0.986   0.000   0.000   0.014
   6729.946   1.349596E+01     0.987   0.000   0.000   0.013
   6749.850   1.375655E+01     0.987   0.000   0.000   0.013
   6769.754   1.402270E+01     0.988   0.000   0.000   0.012
   6789.658   1.429966E+01     0.988   0.000   0.000   0.012
   6809.562   1.458524E+01     0.988   0.000   0.000   0.012
   6829.466   1.486959E+01     0.988   0.000   0.000   0.012
   6849.370   1.514217E+01     0.988   0.000   0.000   0.012
   6869.274   1.540840E+01     0.988   0.000   0.000   0.012
   6889.178   1.567233E+01     0.988   0.000   0.000   0.012
   6909.082   1.593606E+01     0.989   0.000   0.000   0.011
   6928.986   1.619739E+01     0.989   0.000   0.000   0.011
   6948.890   1.645503E+01     0.989   0.000   0.000   0.011
   6968.794   1.670998E+01     0.989   0.000   0.000   0.011
   6988.698   1.696265E+01     0.989   0.000   0.000   0.011
   7008.602   1.721215E+01     0.989   0.000   0.000   0.011
   7028.506   1.745832E+01     0.990   0.000   0.000   0.010
   7048.410   1.770137E+01     0.990   0.000   0.000   0.010
   7068.314   1.793704E+01     0.990   0.000   0.000   0.010
   7088.218   1.816985E+01     0.990   0.000   0.000   0.010
   7108.122   1.839969E+01     0.990   0.000   0.000   0.010
   7128.026   1.862927E+01     0.990   0.000   0.000   0.010
   7147.930   1.885731E+01     0.990   0.000   0.000   0.010
   7167.834   1.907985E+01     0.990   0.000   0.000   0.010
   7187.738   1.929624E+01     0.990   0.000   0.000   0.010
   7207.642   1.950947E+01     0.990   0.000   0.000   0.010
   7227.546   1.971946E+01     0.990   0.000   0.000   0.010
   7247.449   1.992001E+01     0.990   0.000   0.000   0.010
   7267.353   2.010257E+01     0.990   0.000   0.000   0.010
   7287.257   2.027161E+01     0.990   0.000   0.000   0.010
   7307.161   2.042967E+01     0.990   0.000   0.000   0.010
   7327.065   2.057848E+01     0.990   0.000   0.000   0.010
   7346.969   2.071642E+01     0.990   0.000   0.000   0.010
   7366.873   2.084245E+01     0.990   0.000   0.000   0.010
   7386.777   2.095702E+01     0.990   0.000   0.000   0.010
   7406.681   2.105961E+01     0.990   0.000   0.000   0.010
   7426.585   2.114869E+01     0.990   0.000   0.000   0.010
   7446.489   2.122477E+01     0.989   0.000   0.000   0.011
   7466.393   2.128888E+01     0.989   0.000   0.000   0.011
   7486.297   2.134460E+01     0.989   0.000   0.000   0.011
   7506.201   2.138737E+01     0.989   0.000   0.000   0.011
   7526.105   2.141193E+01     0.988   0.000   0.000   0.012
   7546.009   2.141583E+01     0.988   0.000   0.000   0.012
   7565.913   2.140023E+01     0.988   0.000   0.000   0.012
   7585.817   2.136717E+01     0.987   0.000   0.000   0.013
   7605.721   2.131698E+01     0.987   0.000   0.000   0.013
   7625.625   2.124849E+01     0.986   0.000   0.000   0.014
   7645.529   2.116088E+01     0.986   0.000   0.000   0.014
   7665.433   2.105479E+01     0.985   0.000   0.000   0.015
   7685.337   2.092992E+01     0.985   0.000   0.000   0.015
   7705.241   2.078903E+01     0.984   0.000   0.000   0.016
   7725.145   2.062931E+01     0.983   0.000   0.000   0.017
   7745.049   2.044835E+01     0.983   0.000   0.000   0.017
   7764.953   2.024503E+01     0.982   0.000   0.000   0.018
   7784.857   2.002017E+01     0.981   0.000   0.000   0.019
   7804.761   1.977548E+01     0.980   0.000   0.000   0.020
   7824.665   1.951213E+01     0.979   0.000   0.000   0.021
   7844.569   1.923052E+01     0.978   0.000   0.000   0.022
   7864.473   1.893082E+01     0.977   0.000   0.000   0.023
   7884.377   1.861093E+01     0.975   0.000   0.000   0.025
   7904.281   1.827392E+01     0.974   0.000   0.000   0.026
   7924.185   1.791992E+01     0.972   0.000   0.000   0.028
   7944.089   1.755188E+01     0.971   0.000   0.000   0.029
   7963.993   1.717267E+01     0.969   0.000   0.000   0.031
   7983.897   1.678334E+01     0.967   0.000   0.000   0.033
   8003.801   1.638459E+01     0.964   0.000   0.000   0.036
   8023.705   1.597935E+01     0.962   0.000   0.000   0.038
   8043.609   1.557220E+01     0.960   0.000   0.000   0.040
   8063.513   1.516709E+01     0.957   0.000   0.000   0.043
   8083.417   1.475969E+01     0.955   0.000   0.000   0.045
   8103.321   1.436956E+01     0.952   0.000   0.000   0.048
   8123.225   1.399873E+01     0.949   0.000   0.000   0.051
   8143.129   1.365084E+01     0.946   0.000   0.000   0.054
   8163.033   1.331531E+01     0.943   0.000   0.000   0.057
   8182.937   1.297921E+01     0.940   0.000   0.000   0.060
   8202.841   1.271056E+01     0.937   0.000   0.000   0.063
   8222.745   1.253652E+01     0.935   0.000   0.000   0.065
   8242.649   1.240899E+01     0.933   0.000   0.000   0.067
   8262.553   1.236120E+01     0.931   0.000   0.000   0.069
   8282.456   1.248862E+01     0.930   0.000   0.000   0.070
   8302.360   1.275506E+01     0.931   0.000   0.000   0.069
   8322.264   1.307798E+01     0.932   0.000   0.000   0.068
   8342.168   1.354109E+01     0.934   0.000   0.000   0.066
   8362.072   1.426022E+01     0.937   0.000   0.000   0.063
